fecha,texto,etiqueta
2025-01-15,EXCELENTE atencion medica!!! ğŸ˜ŠğŸ˜Š El doctor fue muy muy muy profesional y amable con mi familia @hospital,positivo
2025-01-16,Pesimo servicio... Tuve q esperar mas de 3 HORAS para ser atendido!!! ğŸ˜¡ğŸ˜¡ğŸ˜¡,negativo
2025-01-17,Muy buena experiencia!! Todo el personal fue super atento y comprensivo ğŸ‘ğŸ‘,positivo
2025-01-18,La enfermera fue MUY GROSERA y no respondio mis preguntas?? que mal servicio de verdad,negativo
2025-01-19,Instalaciones muy muy limpias y modernas âœ¨âœ¨ Me senti comodo durante la visita,positivo
2025-01-20,NO RECOMIENDO este hospital!! El trato fue horrible horrible y descuidado ğŸ‘,negativo
2025-01-21,El tratamiento fue efectivo y el seguimiento exelente. Muy agradecido ğŸ™ de verdad,positivo
2025-01-22,Mala organizacion... Perdieron mi historial medico DOS VECES!!! increible ğŸ˜ ,negativo
2025-01-23,Personal altamente capacitado ğŸ‘¨â€âš•ï¸ğŸ‘©â€âš•ï¸ Se nota la profesionalidad en cada area!!!,positivo
2025-01-24,Muy caro caro caro y el servicio no vale la pena!! Decepcionante experiencia total ğŸ˜,negativo
2025-01-25,La cirugia fue exitosa gracias al EXCELENTE equipo medico ğŸ’¯ğŸ’¯ Muy recomendable!!!,positivo
2025-01-26,Ambiente frio y poco acojedor... No me senti bien atendido en ningun momento,negativo
2025-01-27,El doctor explico todo todo con paciencia y claridad â¤ï¸ Sali tranquilo de la consulta,positivo
2025-01-28,NUNCA contestaron mis llamadas!!! Pesima atencion al paciente ğŸ˜¤ğŸ˜¤,negativo
2025-01-29,Agradezco el trato humanitario y profesional q recibi durante mi internacion ğŸ¥,positivo
2025-01-30,La comida del hospital era HORRIBLE y fria ğŸ¤¢ muy mala calidad de verdad,negativo
2025-02-01,Excelente tecnologia medica!! Los equipos son de ultima generacion ğŸ’»ğŸ’»,positivo
2025-02-02,No respetan los horarios de cita... Siempre siempre hay retrasos enormes!!! ğŸ˜¡,negativo
2025-02-03,Me salvaron la vida vida vida ğŸ™ğŸ™ Estare eternamente agradecido con este hospital,positivo
2025-02-04,Cobros excesivos y servicios de baja calidad!! NO VUELVO MAS ğŸ˜ ,negativo
2025-02-05,Personal de enfermeria muy muy dedicado y carinoso con los pacientes â¤ï¸â¤ï¸,positivo
2025-02-06,Habitaciones sucias y mal mantenidas ğŸ¤® Inaceptable para un hospital!!!,negativo
2025-02-07,La rehabilitacion fue MUY efectiva!! Los fisioterapeutas son excelentes ğŸ’ªğŸ’ª,positivo
2025-02-08,Medicos poco empaticos... Se nota q solo les importa el dinero dinero ğŸ’°,negativo
2025-02-09,Sistema de turnos online muy eficiente ğŸ“± Facilita mucho mucho el proceso!!!,positivo
2025-02-10,Falta de comunicacion entre departamentos!! Muy desorganizado todo todo ğŸ˜¤,negativo
2025-02-11,EXCELENTE servicio de emergencias ğŸš‘ğŸš‘ Rapidos y efectivos en la atencion,positivo
2025-02-12,No tienen los medicamentos basicos en la farmacia??? Muy mal equipado ğŸ˜ ,negativo
2025-02-13,El pediatra es maravilloso maravilloso con los niÃ±os ğŸ‘¶ Mi hijo salio feliz feliz ğŸ˜Š,positivo
2025-02-14,Ambiente hostil y estresante!! No ayuda a la recuperacion de los pacientes,negativo
2025-02-15,WOW!!! El mejor hospital hospital en el q he estado ğŸ˜ğŸ˜ Super recomendado @todos,positivo
2025-02-16,Que pesimo servicio de verdad verdad!!! No vuelvo nunca mas aca ğŸ˜¡,negativo
2025-02-17,Atencion de primera calidad ğŸ‘ŒğŸ‘Œ Todo el equipo medico es fantastico fantastico,positivo
2025-02-18,Las salas de espera son un desastre total!! Sucio y sin ventilacion ğŸ¤¢,negativo
2025-02-19,La doctora fue super super amable y profesional ğŸ‘©â€âš•ï¸ Excelente atencion!!!,positivo
2025-02-20,HORRIBLE experiencia... el personal es muy muy poco capacitado ğŸ˜ ğŸ˜ ,negativo
2025-02-21,Instalaciones modernas modernas y muy bien equipadas ğŸ¥ğŸ’¯ Me encanto!!!,positivo
2025-02-22,Tardaron HORAS en atenderme y encima mal!!! Pesimo pesimo ğŸ˜¤,negativo
2025-02-23,El tratamiento q me dieron fue exelente exelente ğŸ’ŠğŸ’Š Ya estoy recuperado,positivo
2025-02-24,No contestan el telefono NUNCA!!! Imposible comunicarse con ellos ğŸ“ğŸ˜¡,negativo
2025-02-25,Super agradecido agradecido con todo el personal ğŸ™â¤ï¸ Salvaron a mi mama,positivo
2025-02-26,Precios abusivos y servicio mediocre!! NO LO RECOMIENDO ğŸ‘ğŸ‘,negativo
2025-02-27,La limpieza del hospital es impecable impecable âœ¨ Todo muy ordenado,positivo
2025-02-28,Medicos maleducados y sin vocacion... Que pena de verdad ğŸ˜ğŸ˜,negativo
2025-03-01,Excelente atencion en urgencias!!! Muy rapido rapido todo ğŸš‘ğŸ’¯,positivo
2025-03-02,Las camas son incomodas y viejas ğŸ›ï¸ Necesitan renovar renovar TODO,negativo
2025-03-03,El mejor servicio q he recibido en mi vida vida ğŸ˜ŠğŸ˜Š 100% recomendado,positivo
2025-03-04,Cobran por TODO y el servicio es PESIMO!!! Un robo total ğŸ’°ğŸ˜¡,negativo
2025-03-05,Las enfermeras son un amor amor â¤ï¸â¤ï¸ Muy atentas y carinosas,positivo
2025-03-06,La comida es horrible horrible ğŸ¤® Parece comida para animales de verdad,negativo
2025-03-07,Tecnologia de punta y doctores excelentes excelentes ğŸ‘¨â€âš•ï¸ğŸ’» Lo maximo!!!,positivo
2025-03-08,NO respetan la privacidad de los pacientes!! Inaceptable inaceptable ğŸ˜ ,negativo
2025-03-09,Gracias gracias gracias por salvar mi vida ğŸ™ğŸ™ Los mejores del mundo,positivo
2025-03-10,EsperÃ© 4 HORAS para q me vean 5 minutos!!! Que falta de respeto ğŸ˜¤ğŸ˜¤,negativo
2025-03-11,Instalaciones hermosas hermosas y muy limpias âœ¨ğŸ¥ Me senti como en casa,positivo
2025-03-12,El doctor ni me miro a los ojos... Solo escribia en la computadora ğŸ’»ğŸ˜ ,negativo
2025-03-13,SUPER FELIZ con la atencion recibida ğŸ˜ŠğŸ˜ŠğŸ˜Š Todo fue perfecto perfecto,positivo
2025-03-14,Personal grosero grosero y sin educacion!! Pesima experiencia ğŸ‘,negativo
2025-03-15,Exelente exelente servicio de pediatria ğŸ‘¶ğŸ‘¶ Mi bebe quedo bien atendido,positivo
2025-03-16,Los baÃ±os estan ASQUEROSOS!!! Que falta de higiene de verdad ğŸ¤¢ğŸ¤®,negativo
2025-03-17,La rehabilitacion fue increible increible ğŸ’ªğŸ’ª Ya estoy caminando bien!!!,positivo
2025-03-18,Cobros excesivos excesivos sin justificacion!! Un abuso total ğŸ’°ğŸ˜¡,negativo
2025-03-19,TODO el personal es amable amable y profesional ğŸ‘ğŸ‘ Muy recomendado,positivo
2025-03-20,Nunca nunca habia visto tanta desorganizacion!!! Que caos ğŸ˜¤ğŸ˜¤,negativo
2025-03-21,La cirugia salio perfecta perfecta ğŸ’¯ğŸ’¯ Gracias gracias doctores!!!,positivo
2025-03-22,Las ambulancias tardan HORAS en llegar!! Inaceptable inaceptable ğŸš‘ğŸ˜ ,negativo
2025-03-23,Atencion rapida rapida y de calidad calidad ğŸ‘Œ Muy satisfecho!!!,positivo
2025-03-24,PESIMO PESIMO todo... desde la entrada hasta la salida ğŸ˜¡ğŸ˜¡ğŸ˜¡,negativo
2025-03-25,Los mejores profesionales profesionales q he conocido ğŸ‘¨â€âš•ï¸ğŸ‘©â€âš•ï¸ Excelentes!!!,positivo
2025-03-26,No tienen medicamentos medicamentos basicos!! Como es posible??? ğŸ˜ ,negativo
2025-03-27,Super agradecido con el equipo medico ğŸ™â¤ï¸ Salvaron a mi hijo,positivo
2025-03-28,Instalaciones viejas viejas y descuidadas ğŸšï¸ Necesitan remodelacion urgente,negativo
2025-03-29,La mejor atencion atencion q he recibido en mi vida ğŸ˜ŠğŸ’¯ 100% recomendado!!!,positivo
2025-03-30,Personal poco capacitado capacitado y sin vocacion ğŸ˜¤ Que decepcion total,negativo
